Date,Close
09/11/1980,676.5
09/12/1980,693.5
09/15/1980,672.5
09/16/1980,668
09/17/1980,678.25
09/18/1980,674
09/19/1980,674.5
09/22/1980,698.75
09/23/1980,720.5
09/24/1980,711
09/25/1980,705
09/26/1980,697
09/29/1980,687.25
09/30/1980,670
10/01/1980,679.25
10/02/1980,675.75
10/03/1980,670.25
10/06/1980,671.5
10/07/1980,679.5
10/08/1980,674.5
10/09/1980,681.75
10/10/1980,683.5
10/13/1980,683.5
10/14/1980,674
10/15/1980,676.25
10/16/1980,673.5
10/17/1980,667.75
10/20/1980,664.2
10/21/1980,652.75
10/22/1980,659.5
10/23/1980,649.25
10/24/1980,628
10/27/1980,633.5
10/28/1980,631
10/29/1980,643.5
10/30/1980,643.5
10/31/1980,636
11/03/1980,634.3
11/04/1980,648
11/05/1980,655
11/06/1980,633.75
11/07/1980,603
11/10/1980,617
11/11/1980,598.75
11/12/1980,614.5
11/13/1980,616
11/14/1980,615.7
11/17/1980,609.25
11/18/1980,616.25
11/19/1980,628.25
11/20/1980,634.5
11/21/1980,637.75
11/24/1980,635
11/25/1980,613.5
11/26/1980,625.5
11/27/1980,620
11/28/1980,621.5
12/01/1980,635.5
12/02/1980,629.25
12/03/1980,627.5
12/04/1980,632.7
12/05/1980,620.25
12/08/1980,615.25
12/09/1980,612.5
12/10/1980,594.5
12/11/1980,573.5
12/12/1980,553.5
12/15/1980,581
12/16/1980,559.75
12/17/1980,572
12/18/1980,577
12/19/1980,573.5
12/22/1980,594
12/23/1980,596.5
12/24/1980,604
12/29/1980,602.25
12/30/1980,587
12/31/1980,589.5
01/05/1981,592
01/06/1981,599.25
01/07/1981,588.75
01/08/1981,573.75
01/09/1981,579.75
01/12/1981,564.25
01/13/1981,566
01/14/1981,561.5
01/15/1981,566.75
01/16/1981,562.75
01/19/1981,558.75
01/20/1981,563.5
01/21/1981,576
01/22/1981,567
01/23/1981,552
01/26/1981,530.25
01/27/1981,517
01/28/1981,524.5
01/29/1981,505
01/30/1981,507.5
02/02/1981,493.25
02/03/1981,482
02/04/1981,504.25
02/05/1981,497
02/06/1981,506.5
02/09/1981,515
02/10/1981,517.75
02/11/1981,505
02/12/1981,493.5
02/13/1981,492.5
02/16/1981,487
02/17/1981,498.5
02/18/1981,502
02/19/1981,505.5
02/20/1981,514.75
02/23/1981,506.5
02/24/1981,503.75
02/25/1981,505.75
02/26/1981,495.25
02/27/1981,490.25
03/02/1981,474.5
03/03/1981,466.25
03/04/1981,475.75
03/05/1981,457
03/06/1981,462
03/09/1981,473.25
03/10/1981,484.5
03/11/1981,475.5
03/12/1981,477.5
03/13/1981,492
03/16/1981,499.25
03/17/1981,498.25
03/18/1981,510.25
03/19/1981,512.75
03/20/1981,509.5
03/23/1981,535.75
03/24/1981,531
03/25/1981,533.25
03/26/1981,534
03/27/1981,547.25
03/30/1981,529.5
03/31/1981,514.25
04/01/1981,516.75
04/02/1981,517
04/03/1981,523.5
04/06/1981,534.25
04/07/1981,517
04/08/1981,508
04/09/1981,512
04/10/1981,491
04/13/1981,475.5
04/14/1981,483
04/15/1981,480.25
04/16/1981,481.5
04/21/1981,481
04/22/1981,497
04/23/1981,490.5
04/24/1981,491.75
04/27/1981,488.75
04/28/1981,484.25
04/29/1981,478.5
04/30/1981,481
05/01/1981,484.75
05/05/1981,476.75
05/06/1981,482.75
05/07/1981,479.25
05/08/1981,481.75
05/11/1981,501
05/12/1981,487
05/13/1981,486.5
05/14/1981,480.75
05/15/1981,482.5
05/18/1981,481.75
05/19/1981,483.25
05/20/1981,478.25
05/21/1981,480
05/22/1981,472.75
05/26/1981,468.5
05/27/1981,467.75
05/28/1981,472
05/29/1981,478.75
06/01/1981,481.25
06/02/1981,473.5
06/03/1981,474
06/04/1981,463.75
